time	ke_at_point[J/kg]
0.245	353.676
0.2455	353.027
0.246	354.654
0.2465	355.697
0.247	359.521
0.2475	361.6
0.248	363.324
0.2485	363.775
0.249	364.807
0.2495	364.492
0.25	364.858
0.2505	364.827
0.251	366.34
0.2515	367.461
0.252	367.713
0.2525	366.627
0.253	367.001
0.2535	365.581
0.254	364.583
0.2545	362.238
0.255	358.917
0.2555	353.993
0.256	349.863
0.2565	346.641
0.257	340.777
0.2575	340.174
0.258	339.448
0.2585	344.309
0.259	348.384
0.2595	350.521
0.26	350.722
0.2605	346.259
0.261	343.071
0.2615	337.681
0.262	337.102
0.2625	338.461
0.263	343.663
0.2635	349.197
0.264	351.94
0.2645	353.991
0.265	351.074
0.2655	350.101
0.266	347.121
0.2665	349.01
0.267	350.787
0.2675	357.93
0.268	365.182
0.2685	371.7
0.269	372.321
0.2695	371.458
0.27	362.488
0.2705	357.061
0.271	347.748
0.2715	342.36
0.272	338.633
0.2725	337.385
0.273	338.468
0.2735	341.921
0.274	344.746
0.2745	346.97
0.275	350.067
0.2755	350.035
0.276	349.464
0.2765	348.4
0.277	345.318
0.2775	342.538
0.278	338.685
0.2785	334.887
0.279	334.303
0.2795	337.256
0.28	343.497
0.2805	351.938
0.281	354.776
0.2815	355.478
0.282	352.673
0.2825	347.108
0.283	342.189
0.2835	336.038
0.284	331.899
0.2845	330.073
0.285	330.641
0.2855	332.743
0.286	339.033
0.2865	346.389
0.287	354.471
0.2875	360.961
0.288	362.478
0.2885	361.418
0.289	358.72
0.2895	355.494
0.29	355.215
0.2905	355.104
0.291	355.47
0.2915	355.426
0.292	353.302
0.2925	349.228
0.293	346.62
0.2935	342.354
0.294	342.943
0.2945	343.339
0.295	345.615
0.2955	348.818
0.296	354.72
0.2965	357.388
0.297	360.532
0.2975	359.67
0.298	357.28
0.2985	354.939
0.299	351.864
0.2995	350.59
0.3	348.023
0.3005	347.591
0.301	348.174
0.3015	348.598
0.302	351.7
0.3025	352.123
0.303	353.011
0.3035	354.044
0.304	356.151
0.3045	357.454
0.305	361.479
0.3055	364.903
0.306	365.557
0.3065	363.84
0.307	360.313
0.3075	355.031
0.308	349.698
0.3085	345.777
0.309	343.568
0.3095	346.49
0.31	350.44
0.3105	357.327
0.311	362.857
0.3115	367.311
0.312	367.609
0.3125	368.086
0.313	366.656
0.3135	366.471
0.314	367.882
0.3145	367.494
0.315	368.26
0.3155	368.091
0.316	367.741
0.3165	365.85
0.317	363.394
0.3175	363.234
0.318	360.852
0.3185	364.809
0.319	366.678
0.3195	369.977
0.32	369.367
0.3205	368.41
0.321	363.692
0.3215	362.222
0.322	362.07
0.3225	362.724
0.323	364.707
0.3235	364.07
0.324	363.006
0.3245	362.369
0.325	360.548
0.3255	359.973
0.326	359.369
0.3265	360.005
0.327	360.198
0.3275	359.858
0.328	359.686
0.3285	359.531
0.329	357.636
0.3295	355.125
0.33	352.692
0.3305	349.457
0.331	347.503
0.3315	347.439
0.332	349.718
0.3325	351.663
0.333	357.318
0.3335	359.944
0.334	358.895
0.3345	356.496
0.335	356.544
0.3355	356.721
0.336	357.856
0.3365	359.064
0.337	358.532
0.3375	360.651
0.338	361.464
0.3385	364.355
0.339	365.604
0.3395	365.668
0.34	367.158
0.3405	368.021
0.341	370.418
0.3415	369.494
0.342	370.002
0.3425	369.974
0.343	367.855
0.3435	365.953
0.344	364.681
0.3445	361.906
0.345	362.495
0.3455	362.497
0.346	364.34
0.3465	367.475
0.347	368.199
0.3475	368.239
0.348	367.81
0.3485	368.019
0.349	368.175
0.3495	368.101
0.35	366.353
0.3505	363.891
0.351	361.433
0.3515	359.692
0.352	358.946
0.3525	357.711
0.353	353.308
0.3535	354.52
0.354	354.161
0.3545	357.668
0.355	361.382
0.3555	366.767
0.356	370.333
0.3565	371.316
0.357	368.063
0.3575	364.622
0.358	359.872
0.3585	357.358
0.359	355.661
0.3595	356.473
0.36	358.993
0.3605	362.345
0.361	365.771
0.3615	367.301
0.362	365.842
0.3625	365.584
0.363	360.749
0.3635	357.812
0.364	356.3
0.3645	357.497
0.365	358.959
0.3655	362.622
0.366	365.711
0.3665	366.33
0.367	367.273
0.3675	364.983
0.368	362.613
0.3685	361.039
0.369	360.718
0.3695	359.982
0.37	360.989
0.3705	360.693
0.371	359.916
0.3715	358.947
0.372	357.987
0.3725	357.505
0.373	359.189
0.3735	362.248
0.374	366.136
0.3745	368.679
0.375	370.093
0.3755	371.718
0.376	369.428
0.3765	370.336
0.377	367.941
0.3775	367.394
0.378	364.851
0.3785	362.983
0.379	360.313
0.3795	358.451
0.38	356.323
0.3805	356.608
0.381	356.064
0.3815	356.831
0.382	356.535
0.3825	357.821
0.383	359.535
0.3835	361.107
0.384	360.613
0.3845	361.737
0.385	362.682
0.3855	364.702
0.386	365.429
0.3865	368.188
0.387	370.164
0.3875	372.022
0.388	371.661
0.3885	372.417
0.389	371.686
0.3895	370.878
0.39	369.73
0.3905	368.732
0.391	366.29
0.3915	363.967
0.392	361.783
0.3925	360.786
0.393	358.182
0.3935	358.097
0.394	357.615
0.3945	358.761
0.395	359.498
0.3955	359.856
0.396	358.085
0.3965	356.99
0.397	356.77
0.3975	355.844
0.398	356.729
0.3985	359.991
0.399	361.99
0.3995	364.867
0.4	367.589
0.4005	369.432
0.401	367.789
0.4015	365.288
0.402	362.154
0.4025	360.034
0.403	357.139
0.4035	358.906
0.404	358.246
0.4045	360.919
0.405	361.114
0.4055	360.726
0.406	362.951
0.4065	363.001
0.407	366.903
0.4075	368.653
0.408	371.869
0.4085	372.789
0.409	371.493
0.4095	369.034
0.41	364.629
0.4105	359.431
0.411	357.779
0.4115	354.556
0.412	355.237
0.4125	353.276
0.413	355.146
0.4135	356.662
0.414	361.883
0.4145	366.027
0.415	369.69
0.4155	369.953
0.416	366.88
0.4165	363.592
0.417	359.77
0.4175	359.394
0.418	358.134
0.4185	359.798
0.419	361.241
0.4195	365.463
0.42	368.045
0.4205	371.509
0.421	375.513
0.4215	376.019
0.422	377.984
0.4225	376.517
0.423	376.45
0.4235	372.623
0.424	372.34
0.4245	369.079
0.425	365.984
0.4255	363.632
0.426	361.152
0.4265	361.337
0.427	360.603
0.4275	362.801
0.428	362.933
0.4285	363.322
0.429	361.971
0.4295	361.431
0.43	359.42
0.4305	360.203
0.431	360.951
0.4315	364.071
0.432	366.489
0.4325	369.644
0.433	369.997
0.4335	372.13
0.434	370.64
0.4345	371.893
0.435	372.416
0.4355	374.067
0.436	374.872
0.4365	374.832
0.437	373.54
0.4375	372.828
0.438	371.096
0.4385	369.394
0.439	367.773
0.4395	363.976
0.44	363.496
0.4405	360.999
0.441	358.952
0.4415	358.602
0.442	358.927
0.4425	357.433
0.443	359.598
0.4435	359.342
0.444	362.432
0.4445	364.009
0.445	367.764
0.4455	369.764
0.446	369.234
0.4465	365.456
0.447	365.389
0.4475	364.253
0.448	364.967
0.4485	368.385
0.449	370.877
0.4495	372.74
0.45	373.456
0.4505	372.964
0.451	371.517
0.4515	371.293
0.452	369.529
0.4525	369.474
0.453	367.762
0.4535	366.207
0.454	364.053
0.4545	362.501
0.455	359.905
0.4555	359.426
0.456	358.711
0.4565	360.984
0.457	364.695
0.4575	367.398
0.458	368.153
0.4585	367.576
0.459	364.983
0.4595	362.848
0.46	359.956
0.4605	361.092
0.461	359.819
0.4615	362.017
0.462	367.349
0.4625	370.97
0.463	374.748
0.4635	375.573
0.464	375.648
0.4645	372.458
0.465	370.341
0.4655	367.101
0.466	366.745
0.4665	364.847
0.467	365.248
0.4675	365.272
0.468	365.752
0.4685	366.639
0.469	368.802
0.4695	370.072
0.47	371.96
0.4705	369.952
0.471	367.188
0.4715	362.918
0.472	357.115
0.4725	351.363
0.473	349.854
0.4735	346.798
0.474	350.653
0.4745	353.22
0.475	358.873
0.4755	364.662
0.476	367.973
0.4765	370.215
0.477	372.781
0.4775	372.175
0.478	371.022
0.4785	366.437
0.479	361.86
0.4795	356.859
0.48	354.226
0.4805	354.237
0.481	357.607
0.4815	364.293
0.482	372.029
0.4825	378.978
0.483	380.51
0.4835	378.214
0.484	371.671
0.4845	366.613
0.485	363.295
0.4855	362.515
0.486	362.137
0.4865	361.18
0.487	362.226
0.4875	362.6
0.488	364.237
0.4885	367.181
0.489	369.883
0.4895	372.701
0.49	373.489
0.4905	369.77
0.491	369.526
0.4915	362.277
0.492	362.81
0.4925	360.086
0.493	361.743
0.4935	360.692
0.494	365.541
0.4945	365.284
0.495	365.108
0.4955	363.238
0.496	361.667
0.4965	357.017
0.497	354.887
0.4975	350.637
0.498	349.09
0.4985	346.712
0.499	344.18
0.4995	342.859
0.5	341.745
